sample_id,runtime_seconds,peak_gpu_memory_mb
open_sora::cjp1xjOzJqY_10_0to135,15.287997715175152,443.23095703125
real::gpzjvW6nJu8_18_0to112,43.5352915097028,479.45849609375
open_sora::gpzjvW6nJu8_18_0to112,14.296979868784547,443.23095703125
real::GXi_pbrzdvc_24_0to192,43.210170553065836,479.45849609375
open_sora::GXi_pbrzdvc_24_0to192,19.66318234615028,443.69970703125
real::TBwmqIlqEnE_1_88to245,85.07932678982615,483.08056640625
open_sora::TBwmqIlqEnE_1_88to245,23.785595847293735,446.58203125
real::krgVcdAJcH4_12_0to163,38.34020690154284,479.22314453125
open_sora::krgVcdAJcH4_12_0to163,13.22363166231662,443.23046875
real::yevgxWF5Ldc_0_0to142,43.11676762159914,479.92724609375
open_sora::yevgxWF5Ldc_0_0to142,20.90187999419868,443.9345703125
real::iQb6qX8uwPU_18_0to620,49.63703396357596,479.92724609375
open_sora::iQb6qX8uwPU_18_0to620,19.568545409478247,444.9853515625
real::bS4ZAtMcCcU_38_0to131,51.59166475292295,479.92724609375
open_sora::bS4ZAtMcCcU_38_0to131,18.39804388396442,443.46533203125
real::YgeQ1lL3u8U_0_0to771,55.68756951298565,479.92724609375
open_sora::YgeQ1lL3u8U_0_0to771,16.976047657430172,443.23095703125
real::fp6u7Xk5Cjs_8_0to164,44.20328626874834,479.69287109375
open_sora::fp6u7Xk5Cjs_8_0to164,16.418406968005,443.9345703125
real::RalnMa2Z7rs_60_64to221,160.35407141782343,488.1083984375
open_sora::RalnMa2Z7rs_60_64to221,27.039939804933965,447.05859375
real::tZGLRJD10jA_10_57to191,113.87101955991238,483.30078125
open_sora::tZGLRJD10jA_10_57to191,29.34167026821524,446.87548828125
real::mRXXGHzkCb4_38_0to148,58.10411230381578,479.69287109375
open_sora::mRXXGHzkCb4_38_0to148,21.86185453273356,443.9345703125
real::YVHr9RFVfJQ_37_0to210,38.537859849631786,479.2236328125
open_sora::YVHr9RFVfJQ_37_0to210,12.987676595337689,443.23095703125
real::4wknw32uv6E_9_0to324,68.35058964788914,480.8642578125
open_sora::4wknw32uv6E_9_0to324,19.34308775793761,443.69970703125
real::FID0rlfHBjU_9_0to320,67.0559522472322,482.38623046875
open_sora::FID0rlfHBjU_9_0to320,28.405270906165242,445.18896484375
real::9OacZ3E49cU_23_0to279,73.40368697419763,483.45703125
open_sora::9OacZ3E49cU_23_0to279,16.224890276789665,444.9853515625
real::RCBUSkFX8Vs_0_0to139,54.258975367993116,480.162109375
open_sora::RCBUSkFX8Vs_0_0to139,18.65269178338349,443.69970703125
real::uK2P6fVlbb8_79_16to170,42.067323870025575,479.45849609375
open_sora::uK2P6fVlbb8_79_16to170,14.832818863913417,443.23095703125
real::mezFIMP8FEU_4_19to143,62.57643444929272,482.56982421875
open_sora::mezFIMP8FEU_4_19to143,27.3593298913911,446.60791015625
real::eB__nT0rP2c_9_38to273,53.81162112765014,481.205078125
open_sora::eB__nT0rP2c_9_38to273,17.01274241413921,443.46533203125
real::1GyjsUbq19U_7_169to1448,53.16820821817964,479.92724609375
open_sora::1GyjsUbq19U_7_169to1448,20.212458986788988,444.9853515625
real::4folx0ORjoE_7_0to184,41.210426351986825,479.45849609375
open_sora::4folx0ORjoE_7_0to184,13.542153306305408,443.23095703125
real::vTqNLJG2ExE_8_142to273,203.4762100232765,489.396484375
open_sora::vTqNLJG2ExE_8_142to273,30.49169477634132,447.27587890625
real::FZFCeoOqZ9M_11_0to475,55.674360951408744,481.205078125
open_sora::FZFCeoOqZ9M_11_0to475,20.44369527697563,444.9853515625
real::Pft8mdtW8lc_32_0to109,42.447071374394,479.45849609375
open_sora::Pft8mdtW8lc_32_0to109,13.763981063850224,442.99560546875
real::YmN8Uza1Cg0_27_0to141,49.147680554538965,480.162109375
open_sora::YmN8Uza1Cg0_27_0to141,22.285314531996846,443.9345703125
real::vprQHQTTkks_49_0to318,54.14466833882034,479.45849609375
open_sora::vprQHQTTkks_49_0to318,16.825343584641814,443.23095703125
real::nxraujoMuic_3_21to163,52.963849796913564,480.162109375
